Crash_Date,Crash_Time,Aircraft_Type,Aircraft_SN,Base,Wing,Squadron,Mission_Type,Weapon,Target_Objective,Ceiling_Vis,Maneuver,Pass,Angle,Altitude,Airspeed,Mission_Phase,Where_Hit,Fire_Observed,Hit_Country,Loss_Country,Defense_Type,Pilot_Hit,Pilot_Rank,Pilot,Pilot_Egress,Pilot_Status,Pilot_Condition,Pilot_Recovered,Latitude,Longitude
1962-02-02,_,C-123B,564370,TSN,464TCW,_,,_,Practice spray run,/..,Pull up,0,0,0,0,Enroute,_,_,SVn,Svn,_,_,Capt,Groves F. C.,Crash,KIA,_,_,,
1962-02-11,_,SC-47A,4315732,BHA,_,4400CCTS,,_,Leaflet drop near Dalat,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire (combat associated),_,Capt,Kissam E. K.,Crash,KIA,_,_,11.75,107.0
1962-08-28,_,T-28B,538376,_,_,_,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Simpson R. L.,_,KIA,_,_,,
1962-10-15,_,U-10,625909,_,_,_,,_,Not applicable,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Booth H. W.,Crash,KIA,_,_,,
1962-10-16,_,T-28B,538365,_,_,_,,_,Not applicable,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Chambers B. L.,Ejection,Recovered,Minor injuries,_,,
1962-11-05,_,RB-26B,4435530,_,_,_,,_,_,/..,_,0,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,Capt,Bennett R. D.,Crash,KIA,_,_,,
1963-02-03,_,B-26B,4435692,_,_,_,,_,_,/..,Strafe,0,0,0,0,At target,_,_,SVn,SVn,Small arms,_,Capt,Shaugnessy J.,Crash,KIA,_,_,,
1963-02-06,_,RB-26B,4435507,_,_,_,,_,_,/..,_,0,0,0,0,_,Engine,_,SVn,SVn,Gunfire,_,Maj,ONeill J. R.,Crash,KIA,_,_,,
1963-04-08,_,B-26B,4435525,_,_,_,,_,_,/..,Strafe,0,0,0,0,At target,Left wing,_,SVn,SVn,Gunfire,_,Capt,Mitchell A. C.,Crash,KIA,_,_,,
1963-06-27,_,T-28B,538375,_,_,_,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Terry C. H.,Crash,KIA,_,_,,
1963-08-16,_,B-26B,4434681,_,_,_,,_,_,/..,_,0,0,0,0,_,Left wing,_,SVn,SVn,Gunfire,_,Capt,McClean J. H.,Crash,KIA,_,_,,
1963-09-02,_,B-26B,4434682,_,_,_,,_,Not applicable,/..,_,0,0,0,0,Return,_,_,SVn,SVn,Gunfire (combat associated),_,Capt,Purcell H. P.,_,KIA,_,_,,
1963-09-10,_,T-28B,538367,_,_,_,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Automatic weapons,_,Capt,Meek E. C.,Crash,Recovered,Major injuries,u Helo,,
1963-10-08,_,T-28B,538373,_,_,_,,_,_,/..,Dive,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Wadsworth D. A.,Crash,KIA,_,_,,
1963-10-24,_,C-123,564385,TSN,315TCW,_,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Heavy gunfire,_,Capt,Fitzgerald W. M.,Crash,KIA,_,_,,
1963-11-24,_,B-26B,4435703,_,_,_,,_,Not applicable,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Cody H. R.,Crash,KIA,_,_,,
1963-12-06,_,B-26B,4435782,_,_,_,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Bitton G. W.,Crash,KIA,_,_,,
1964-01-14,_,B-26B,4435566,BHA,34TASG,1ACS,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Maj,Mitchell C. B.,Crash,KIA,_,_,,
1964-01-14,_,T-28D,538372,_,_,_,,_,_,/..,Dive,0,0,0,0,At target,Left wing,Y,SVn,SVn,Gunfire,_,Capt,Adkins E. M.,Crashlanded,Recovered,Minor injuries,_,,
1964-02-18,_,T-28,538369,_,_,_,,_,VietCong in foxholes,/..,_,0,0,0,0,_,Right wing,Y,SVn,SVn,Gunfire,_,u,u,Crashlanded,Recovered,Uninjured,_,,
1964-02-19,_,T-28,538855,_,_,_,,_,_,/..,Strafe,6,0,0,0,At target,_,_,SVn,SVn,Gunfire,_,Capt,Lukasik B. F.,Crash,KIA,_,_,,
1964-03-24,_,T-28,538362,BHA,34TASG,_,,_,_,/..,Dive,3,35,1600,250,At target,,_,SVn,SVn,Gunfire,_,Capt,Shank E. G.,Crash,KIA,_,_,,
1964-03-26,_,O-1F,554695,KSN,_,19TASS,,_,_,/..,_,0,0,0,0,_,_,_,SVn,SVn,Gunfire,_,Capt,Whitesides R. L.,_,KIA,_,_,,
